#weintek modbus server mapping file
Description,Address Mode,Read/Write Type,Conversion AB->BA,Conversion ABCD->CDAB,Conversion ABCDEFGH->EFGHABCD,PLC Name,Mapping Device Name,PLC Address Type,Mapping Address Type,PLC Address,Mapping Address,Table Size,PLC Use Tag,Device Use Tag,PLC Tag Name,Device Tag Name,Use Interlock,Interlock Disable Mode,Interlock Device Name,Interlock Address Type,Interlock Address,Interlock Tag Use,Interlock Tag Name
"Sensor Faults",0,1,0,0,0,"","BACnet/IP Server",2,193,"7","(3,16)Sensor Faults.PresentValue(ID#85)",1,0,0,"","",0,1,"",0,"0",0,"",
"Local Override Active",0,1,0,0,0,"","BACnet/IP Server",2,193,"8","(3,17)Local Override Active.PresentValue(ID#85)",1,0,0,"","",0,1,"",0,"0",0,"",
"Heating Element 1",0,2,0,0,0,"","BACnet/IP Server",2,193,"101","(3,0)Heating Element 1.PresentValue(ID#85)",1,0,0,"","",0,1,"Local HMI",0,"0",0,"",
"Heating Element 2",0,2,0,0,0,"","BACnet/IP Server",2,193,"102","(3,1)Heating Element 2.PresentValue(ID#85)",1,0,0,"","",0,1,"",0,"0",0,"",
"Heating Element 3",0,2,0,0,0,"","BACnet/IP Server",2,193,"103","(3,2)Heating Element 3.PresentValue(ID#85)",1,0,0,"","",0,1,"",0,"0",0,"",
"Heating Element 4",0,2,0,0,0,"","BACnet/IP Server",2,193,"104","(3,3)Heating Element 4.PresentValue(ID#85)",1,0,0,"","",0,1,"",0,"0",0,"",
"Heating Element 5",0,2,0,0,0,"","BACnet/IP Server",2,193,"105","(3,4)Heating Element 5.PresentValue(ID#85)",1,0,0,"","",0,1,"",0,"0",0,"",
"Heating Element 6",0,2,0,0,0,"","BACnet/IP Server",2,193,"106","(3,5)Heating Element 6.PresentValue(ID#85)",1,0,0,"","",0,1,"",0,"0",0,"",
"Heating Element 7",0,2,0,0,0,"","BACnet/IP Server",2,193,"107","(3,6)Heating Element 7.PresentValue(ID#85)",1,0,0,"","",0,1,"",0,"0",0,"",
"Heating Element 8",0,2,0,0,0,"","BACnet/IP Server",2,193,"108","(3,7)Heating Element 8.PresentValue(ID#85)",1,0,0,"","",0,1,"",0,"0",0,"",
"Heating Element 9",0,2,0,0,0,"","BACnet/IP Server",2,193,"109","(3,8)Heating Element 9.PresentValue(ID#85)",1,0,0,"","",0,1,"",0,"0",0,"",
"Blower Status",0,2,0,0,0,"","BACnet/IP Server",2,193,"110","(3,9)Blower.PresentValue(ID#85)",1,0,0,"","",0,1,"",0,"0",0,"",
"Pump Status",0,2,0,0,0,"","BACnet/IP Server",2,193,"111","(3,10)Pump.PresentValue(ID#85)",1,0,0,"","",0,1,"",0,"0",0,"",
